endTime,artistName,trackName,msPlayed
2023-10-09 23:16,Edward Sharpe & The Magnetic Zeros,Home - 2019 - Remaster,27590
2023-10-12 13:16,Of Monsters and Men,Dirty Paws,3870
2023-10-12 13:21,Noah Kahan,You’re Gonna Go Far,286369
2023-10-12 13:23,Beach Bunny,Cloud 9,147350
2023-10-12 13:25,Empire Of The Sun,Alive,67809
2023-10-12 13:27,BoyWithUke,IDGAF (with blackbear),140666
2023-10-12 13:30,BoyWithUke,Rockstar,193526
2023-10-12 13:30,Noah Kahan,You’re Gonna Go Far,1527
2023-10-12 13:34,Blondie,Heart Of Glass,229423
2023-10-12 13:37,Adele,Right As Rain,197346
2023-10-12 13:40,Patrick Martin,Dandelion Eyes,189869
2023-10-12 13:44,Two Door Cinema Club,Sun,187720
2023-10-12 13:47,Flume,Drop The Game,221894
2023-10-12 13:51,Coldplay,Clocks,180796
2023-10-13 20:52,JVKE,golden hour,209259
2023-10-13 20:54,Rex Orange County,Best Friend,113879
2023-10-13 20:54,Bronze Radio Return,With Me All Along,1369
2023-10-13 20:54,M.S.Y.G,My Name is Jeff - 2014,835
2023-10-13 20:54,Alberta Cross,Find a Home out There,1671
2023-10-13 20:54,The Kiddie Katz,Thomas the Train Theme,998
2023-10-13 20:54,Fleetwood Mac,Go Your Own Way - 2004 Remaster,4806
2023-10-13 20:54,M83,Midnight City,1114
2023-10-13 20:54,KALEO,Way down We Go,1625
2023-10-13 20:56,Iron Eyes Cody,The Distance,127593
2023-10-13 20:58,Taylor Swift,Question...?,1230
2023-10-13 20:58,Taylor Swift,Lavender Haze,105232
2023-10-13 20:58,Taylor Swift,Labyrinth,673
2023-10-13 20:58,Taylor Swift,Bejeweled,2275
2023-10-13 21:01,Taylor Swift,Vigilante Shit,557
2023-10-13 21:01,Taylor Swift,Midnight Rain,153553
2023-10-13 21:01,Taylor Swift,Anti-Hero,1300
2023-10-13 21:07,Taylor Swift,"You're On Your Own, Kid",146610
2023-10-14 01:55,Taylor Swift,"You're On Your Own, Kid",195089
2023-10-14 01:59,Taylor Swift,Lavender Haze,7848
2023-10-14 01:59,Taylor Swift,Karma,204852
2023-10-14 01:59,Taylor Swift,Snow On The Beach (feat. Lana Del Rey),11491
2023-10-14 02:03,Taylor Swift,"You're On Your Own, Kid",194206
2023-10-14 02:03,Taylor Swift,Midnight Rain,46444
2023-10-14 02:03,Mt. Joy,Silver Lining,2136
2023-10-14 02:04,Noah Kahan,Homesick,8521
2023-10-14 02:07,BoyWithUke,Rockstar,4713
2023-10-14 02:07,The Lumineers,Ho Hey,1618
2023-10-14 02:07,Ed Sheeran,Vega,178114
2023-10-14 02:07,Noah Kahan,Growing Sideways,3181
2023-10-14 02:09,BoyWithUke,Trauma,163253
2023-10-14 02:10,Of Monsters and Men,Dirty Paws,32966
2023-10-14 18:01,Owl City,Fireflies,228346
2023-10-14 18:05,Mike Posner,Cooler Than Me - Single Mix,213293
2023-10-14 18:08,B.o.B,Airplanes (feat. Hayley Williams of Paramore),180480
2023-10-14 19:11,lovelytheband,broken,204878
2023-10-14 19:16,The Neighbourhood,Sweater Weather,240400
2023-10-14 19:18,Lost Frequencies,Reality,158474
2023-10-14 19:24,Adele,Right As Rain,207218
2023-10-14 19:26,THE ANXIETY,Meet Me At Our Spot,162680
2023-10-14 19:30,Giant Rooks,Wild Stare,194480
2023-10-14 19:33,Macklemore,Glorious (feat. Skylar Grey),220454
2023-10-14 19:35,BoyWithUke,Psycho,100966
2023-10-14 19:38,Royel Otis,Oysters In My Pocket,162338
2023-10-14 19:40,SEB,seaside_demo,132000
2023-10-14 19:42,Dominic Fike,Why,139906
2023-10-14 19:43,Atlas Genius,Trojans,13724
2023-10-15 00:46,Noah Kahan,Growing Sideways,255143
2023-10-15 00:47,Of Monsters and Men,Dirty Paws,8891
2023-10-15 00:47,Mt. Joy,Silver Lining,2670
2023-10-15 00:50,Jack Johnson,Upside Down,208653
2023-10-15 00:52,Noah Kahan,Northern Attitude,90894
2023-10-15 00:57,Edward Sharpe & The Magnetic Zeros,Home - 2019 - Remaster,306373
2023-10-15 01:01,BoyWithUke,Prairies (with mxmtoon),114243
2023-10-16 01:30,BoyWithUke,Prairies (with mxmtoon),6060
2023-10-16 01:30,BoyWithUke,Prairies (with mxmtoon),49063
2023-10-16 01:31,BoyWithUke,Blue,10054
2023-10-16 01:32,BoyWithUke,Bad Blood,2948
2023-10-16 01:32,BoyWithUke,Problematic,6780
2023-10-16 01:32,BoyWithUke,Long Drives,76927
2023-10-16 01:32,BoyWithUke,Tired of Wanting You,1346
2023-10-16 01:32,BoyWithUke,Before I Die,1091
2023-10-16 01:33,BoyWithUke,IDGAF (with blackbear),35596
2023-10-16 01:33,BoyWithUke,Migraine,7987
2023-10-16 01:33,BoyWithUke,Nosedive,1230
2023-10-16 01:33,BoyWithUke,Out of Tune,1416
2023-10-16 01:33,BoyWithUke,Shy,1184
2023-10-16 01:33,BoyWithUke,Hazel Eyes,766
2023-10-16 01:35,BoyWithUke,Rockstar,37337
2023-10-16 01:35,BoyWithUke,idtwcbf (friends),91904
2023-10-16 01:37,BoyWithUke,Psycho,89327
2023-10-16 01:38,BoyWithUke,Trauma,4202
2023-10-16 01:38,The Head And The Heart,Lost in My Mind,1787
2023-10-16 01:38,Noah Kahan,Northern Attitude,52662
2023-10-16 01:38,BoyWithUke,idtwcbf (friends),2786
2023-10-16 01:42,Noah Kahan,"Everywhere, Everything",257668
2023-10-16 01:43,Noah Kahan,All My Love,69488
2023-10-16 01:47,Jack Johnson,Upside Down,208653
2023-10-16 02:31,Mt. Joy,Silver Lining,104989
2023-10-19 13:35,Taylor Swift,Lavender Haze,97260
2023-10-19 13:36,Taylor Swift,Maroon,45870
2023-10-19 13:37,Taylor Swift,Lavender Haze,39960
2023-10-19 13:38,Taylor Swift,Midnight Rain,55940
2023-10-20 23:02,Taylor Swift,Lavender Haze,202395
2023-10-20 23:06,Taylor Swift,Maroon,218270
2023-10-20 23:09,Taylor Swift,Anti-Hero,200690
2023-10-20 23:10,Taylor Swift,Snow On The Beach (feat. Lana Del Rey),32772
2023-10-20 23:55,Taylor Swift,"You're On Your Own, Kid",194206
2023-10-20 23:58,Taylor Swift,Midnight Rain,174782
2023-10-20 23:58,Taylor Swift,Bejeweled,0
2023-10-20 23:58,Taylor Swift,Question...?,0
2023-10-20 23:58,Taylor Swift,Labyrinth,0
2023-10-20 23:58,Taylor Swift,Vigilante Shit,0
2023-10-20 23:59,Taylor Swift,Karma,0
2023-10-20 23:59,Taylor Swift,Labyrinth,0
2023-10-21 00:03,Taylor Swift,Karma,204852
2023-10-21 00:04,Taylor Swift,Sweet Nothing,40257
2023-10-21 00:04,Taylor Swift,the 1,7569
2023-10-21 00:07,Taylor Swift,cardigan,155411
2023-10-21 00:10,Zeph,could you love me while i hate myself,766
2023-10-21 00:10,Beach Bunny,Cloud 9,1637
2023-10-21 00:10,Taylor Swift,London Boy,190240
2023-10-21 00:11,Em Beihold,Numb Little Bug,928
2023-10-21 00:11,JVKE,this is what falling in love feels like,905
2023-10-21 00:11,Paramore,Still into You,859
2023-10-21 00:11,Hozier,Would That I,580
2023-10-21 00:11,Ashe,Moral of the Story,905
2023-10-21 00:11,OneRepublic,I Lived,719
2023-10-21 00:11,Lorde,Team,1416
2023-10-21 00:11,Noah Kahan,False Confidence,998
2023-10-21 00:11,Taylor Swift,Wildest Dreams (Taylor's Version),3227
2023-10-21 00:11,Ashe,Till Forever Falls Apart,789
2023-10-21 00:11,Katy Perry,Teenage Dream,1207
2023-10-21 00:11,Taylor Swift,Welcome To New York,2089
2023-10-21 00:11,Wallows,Are You Bored Yet? (feat. Clairo),1369
2023-10-21 00:11,Ryn Weaver,Pierre,534
2023-10-21 00:11,Taylor Swift,Sparks Fly (Taylor’s Version),1253
2023-10-21 00:12,Taylor Swift,Style,67709
2023-10-21 16:53,Taylor Swift,Maroon,218270
2023-10-21 16:56,Taylor Swift,Vigilante Shit,164801
2023-10-21 17:00,Taylor Swift,Paris,196258
2023-10-21 17:02,Taylor Swift,High Infidelity,86336
2023-10-22 16:47,Taylor Swift,Mastermind,191039
2023-10-22 16:52,Taylor Swift,Clean,271000
2023-10-22 16:56,Taylor Swift,invisible string,252880
2023-10-22 17:04,Taylor Swift,Midnight Rain,174782
2023-10-22 17:08,Taylor Swift,Death By A Thousand Cuts,198533
2023-10-22 17:16,Taylor Swift,cardigan,239560
2023-10-22 17:21,Taylor Swift,Long Live (Taylor's Version),317960
2023-10-22 17:25,Taylor Swift,the 1,210251
2023-10-22 18:14,Taylor Swift,betty,294521
2023-10-22 18:15,Taylor Swift,Snow On The Beach (feat. Lana Del Rey),59837
2023-10-22 18:19,Taylor Swift,champagne problems,244000
2023-10-22 18:23,Taylor Swift,the last great american dynasty,230999
2023-10-22 18:27,Taylor Swift,Miss Americana & The Heartbreak Prince,234146
2023-10-22 18:29,Taylor Swift,Paper Rings,121105
2023-10-22 19:33,Taylor Swift,State Of Grace (Acoustic Version) (Taylor's Version),39404
2023-10-22 19:33,Taylor Swift,Anti-Hero,114776
2023-10-22 19:33,Taylor Swift,Snow On The Beach (feat. Lana Del Rey),1880
2023-10-22 19:33,Taylor Swift,Paper Rings,10634
2023-10-22 19:34,Taylor Swift,Treacherous (Taylor's Version),25425
2023-10-22 19:35,Taylor Swift,Treacherous (Taylor's Version),1230
2023-10-22 19:35,Taylor Swift,Treacherous (Taylor's Version),17298
2023-10-22 19:39,Taylor Swift,Treacherous (Taylor's Version),226021
2023-10-22 19:40,Taylor Swift,I Almost Do (Taylor's Version),53650
