ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-12-07T20:34:52Z,jujurazz,windows,201893,US,129.19.163.254,unknown,Dirt On My Boots,Jon Pardi,California Sunrise,spotify:track:7f08qp3HROTkfrtNpiYGGo,,,,trackdone,trackdone,False,False,False,1701981108,False
2023-12-07T20:38:26Z,jujurazz,windows,213493,US,129.19.163.254,unknown,You Should Probably Leave,Chris Stapleton,Starting Over,spotify:track:2UikqkwBv7aIvlixeVXHWt,,,,trackdone,trackdone,False,False,False,1701981310,False
2023-12-07T20:42:41Z,jujurazz,windows,254466,US,129.19.163.254,unknown,Drunk On A Plane,Dierks Bentley,RISER,spotify:track:1soxUgYIZb1qx1c7o1Lc7z,,,,trackdone,trackdone,False,False,False,1701981524,False
2023-12-07T20:45:22Z,jujurazz,windows,160706,US,129.19.163.254,unknown,Nobody,Dylan Scott,Nothing To Do Town,spotify:track:5TWAIHYaOnYg4txfmCgon5,,,,trackdone,trackdone,False,False,False,1701981779,False
2023-12-07T20:48:00Z,jujurazz,windows,157477,US,129.19.163.254,unknown,You Proof,Morgan Wallen,You Proof,spotify:track:5uU1uuyaUIBOiiUSQG7Wl3,,,,trackdone,trackdone,False,False,False,1701981940,False
2023-12-07T20:51:06Z,jujurazz,windows,185906,US,129.19.163.254,unknown,How Country Feels,Randy Houser,How Country Feels,spotify:track:26t3KexbqzF3sRWgczYyja,,,,trackdone,trackdone,False,False,False,1701982098,False
2023-12-07T20:54:32Z,jujurazz,windows,205000,US,129.19.163.254,unknown,Homegrown,Zac Brown Band,JEKYLL + HYDE,spotify:track:2kR18wsL3gvXRXdNE4dCGc,,,,trackdone,trackdone,False,False,False,1701982285,False
2023-12-07T20:58:22Z,jujurazz,windows,230226,US,129.19.163.254,unknown,Damn Strait,Scotty McCreery,Damn Strait,spotify:track:4jp9FimhP2bQ93vR0A5r7b,,,,trackdone,trackdone,False,False,False,1701982490,False
2023-12-07T21:01:38Z,jujurazz,windows,195053,US,129.19.163.254,unknown,Best Shot,Jimmie Allen,Mercury Lane,spotify:track:3eDNb3ZG3gKgjAAgJBcOL8,,,,trackdone,trackdone,False,False,False,1701982721,False
2023-12-07T21:04:33Z,jujurazz,windows,174254,US,129.19.163.254,unknown,Take It From Me,Jordan Davis,Home State,spotify:track:3dCZm5HrG0jIXAHfNkg2H0,,,,trackdone,trackdone,False,False,False,1701982916,False
2023-12-07T21:07:48Z,jujurazz,windows,195013,US,129.19.163.254,unknown,If I Was a Cowboy,Miranda Lambert,If I Was a Cowboy,spotify:track:6F7UOC6fPWOkPqybOWBHSv,,,,trackdone,trackdone,False,False,False,1701983091,False
2023-12-07T21:11:23Z,jujurazz,windows,213826,US,129.19.163.254,unknown,Somethin' 'Bout A Truck,Kip Moore,Up All Night,spotify:track:6Ymvlzom4TQeoKqAWsZRD8,,,,trackdone,trackdone,False,False,False,1701983287,False
2023-12-07T21:14:28Z,jujurazz,windows,184920,US,129.19.163.254,unknown,Are You Gonna Kiss Me Or Not,Thompson Square,Thompson Square,spotify:track:2oyJMZrw1DGvvkT2NbCZ0Y,,,,trackdone,trackdone,False,False,False,1701983501,False
